ImageFile,InventoryNumber,ArtistName,Title,ObjectType,Medium,ObjectDate,Height,Width,About the Artist,About the Artwork,County Department,Supervisorial District,Location Name,AddressStreet,AddressCity,AddressState,AddressPostalCode,Latitude,Longitude,Count,Group,Show
,2008.16,"Healy, Wayne",Fun at the Lennox Plunge,Mural,Glazed ceramic,2008,204,96,"East Los Angeles-based artist, Wayne Healy, has dedicated his career to public art projects ranging from murals and sculpture, to tile and metalwork. He and fellow muralist, David Botello, founded East Los Streetscapers in 1975 and together spearheaded the East LA mural movement. His designs are universal, narrative, site specific and compositionally dramatic in line, color and texture. His credits include numerous large-scale murals and sculptures throughout Los Angeles, including works at the Gateway transit center, the Metro Blue Line Slauson Station, the DMV facility in Culver City, and the Ontario International Airport. His studio work has been exhibited locally and internationally. Healy received his MFA from California State University, Northridge.","In conjunction with the 2008 renovation of the pool house, pool deck, equipment room and senior building at Lennox Park in South Los Angeles, artist Wayne Healy created a hand-painted glazed ceramic tile mural for the front entrance of the pool house. The vibrantly colored and dynamically composed artwork displays the activities of the facility and the spirit of the community.",Parks and Recreation,District 2 ,Lennox Park Pool House,10828 Condon Ave.,Inglewood,California,91390,33.93735909,-118.3589479,0,1,TRUE
,2008.17,"Baer, Rod",Wave Fence,Fence,Painted steel on metal fence,2008,0,12000,"Rod Baer, who lives in Los Angeles, received an MFA from Claremont Graduate School and a BFA from San Diego State University. He has completed public and private commissions in California and the United States and has extensive design team experience. His work is characterized by bold geometric shapes and colors that are often rendered in three dimensions.","The El Cariso Community Regional Park was named for the El Cariso Hot Shots, a firefighting crew that lost ten members while fighting the Loop Fire of 1966. The park, located in Sylmar includes a golf course, swimming pool, tennis courts, picnic tables, playground, sports and baseball fields.
Artist Rod Baer designed the fence around the swimming pool. In the artist's words, balancing playfulness with graceful form, the wave pattern forms an immediate and understandable symbol for the water contained within its perimeter. This mix reflects the facility’s dual pool purpose, which serves both children and adults, including serious competitive users and visiting event crowds seated in adjacent grandstands. By sculpting painted waves on the top edge of the fence, the aquatic center can be seen from all over the park, instantly marking its identity and location to visitors.",Parks and Recreation,District 3 ,El Cariso Community Regional Park,13100 Hubbard Street,Sylmar,California,90304 ,34.31797751,-118.4183503,1,1,TRUE
,2008.18,"Amescua, Michael",Where Fire Meets Water,Sculpture,Painted steel,1999,,,"Basing his artistic practice in East Los Angeles, Michael Amescua has executed many public art projects in the southern California region, including works for the MTA Gateway Transit Center in Los Angeles, the Los Angeles International Airport, Paseo Colorado in Pasadena, the Los Angeles Zoo, McCambridge Park in Burbank, Montebello Transit Center, the Los Angeles Department of Water and Power, and the Los Angeles County Chatsworth Courthouse. Amescua holds a BA in Anthropology from Occidental College.

In addition to West Hollywood Fire Station No. 7, Rudy Gerardo assisted Michael Amescua with a public artwork for the Paseo Colorado in Pasadena.",The cut steel work depicts a fireman’s helmet surrounded by abstracted flames and rivulets of water. The artwork is intended to highlight either the flames or the water depending on the angle in which it is viewed.,Fire,District 3 ,Fire Station 7,864 N. San Vicente Blvd.,West Hollywood,California,90304 ,34.08674829,-118.3849096,2,1,FALSE
,2008.6,"Strayhorn, Robin",Gifts from Mother,Mural,Ceramic,2008,108,120,"Robin Strayhorn, who lives in downtown Los Angeles, graduated from UCLA and taught at Markham Middle School in Watts for several years. Strayhorn has completed public art commissions for the City of Los Angeles Cultural Affairs Department, MTA Metro Art, and the Ontario International Airport. Her work is characterized by rich, colorful, sometimes abstracted human forms and designs rendered in ceramic tile. She is recognized for involving community members in her projects.","In conjunction with over twenty local youth, artist Robin Strayhorn created the tile mural Gifts from Mother at the entry of the Ted Watkins pool house. Strayhorn taught the youth how to create the tiles in an after-school program. The mural depicts children diving into water surrounded by a decorative border of various natural motifs and figures.

Ted Watkins Park serves its local residents with swimming pools, ball fields, play and picnic areas and after-school recreational activities. Ted Watkins Park is also home to the Promenade of Prominence Walk of Fame, which celebrates the accomplishments of community leaders.",Parks and Recreation,District 2 ,Ted Watkins Memorial Park,1335 East 103rd Street,Los Angeles,California,91768,33.94342714,-118.2505316,3,1,FALSE
,2008.7,Topanga Art Tile,Ocean Journey,Mural,Glazed ceramic tile,2008,402,54,"Matthew Doolin graduated from the UCLA School of the Arts in 1990. Focusing on design and ceramics, he studied under Adrian Saxe and Bill Brown and later served as a production assistant to Red Grooms. He has been creating and producing ceramic tile art since 1980 and also spent a year teaching art in Taiwan. Paul Doolin received his BFA from UC Santa Cruz in 1990. While there he studied with Eduardo Carillo, Don Weygandt, Jenny Mc Dade, Peter Loftus, and Hardy Hanson. 

Paul and Matthew have dedicated over two decades to run Topanga Art Tile and Design with their mother Leslie Doolin. Their public art projects include works for Disney’s California Adventure, Santa Clara University, the Royal Kahana Hotel in Maui, St. Catherine’s Church of Avalon, Thousand Oaks High School, the Inn at Venice Beach, and the Topanga Canyon Public Library.","Artists Matthew and Paul Doolin of Topanga Art Tile's glass and ceramic tile mosaic mural Ocean Journey depicts a vibrant and whimsical underwater ocean scene. The mural faces the street entrance of the pool house. It features a sand bar of beige tones, a variety of green and blue tiles depicting the water, two large sea turtles, several multi-colored fish and a pod of dolphins swimming throughout the scene. Several smaller fish are installed around the main entrance door.",Parks and Recreation,District 2 ,George W. Carver Park,1400 East 118th Street,Los Angeles,California,90033,33.92613963,-118.2505906,4,1,FALSE
,2008.8,"Warren, Dakota",Sea Dream,Mural,"Ceramics, glass, aluminum, and stained cement",2008,1440,96,"Los Angeles-based artist Dakota Warren has created numerous public artworks in cities throughout the United States. He has produced murals in California for the City of Merced Redevelopment Agency and the Mountain View Medical Center in Modesto and has also completed mosaics for the Human Services Building in Irving, Texas and the Vanston Pool in Mesquite, Texas. His private commissions include works for the New York Mercantile Exchange and the Inter-American National Bank in Washington, DC.","Artist Dakota Warren's mixed media mural <em>Sea Dream</em> depicts a euphoric ocean scene. The wave imagery is painted on a color-stained concrete top coat. Flying fish and dolphins, made of powder coated aluminum, are mounted on the surface and ceramic tile and mirrored glass embellish the spaces between bricks. The mural is located on a wall facing the pool.",Parks and Recreation,District 2 ,Mona Park,2291 East 121st Street,Compton,California,91340,33.92228127,-118.2315234,5,2,FALSE
,2008.9,"Karlsen, Anne Marie",Subdivisions,Glass,Glass,2008,240,180,"Anne Marie Karlsen earned her MFA from the University of Wisconsin, and has been teaching art in southern California since 1979 at UCLA, and currently at Santa Monica College. Since 1990 she has been commissioned for numerous public projects throughout the country, including the FBI Headquarters in Chicago; Paseo Colorado Development in Pasadena; North Hollywood Metro Red Line station; and Trailside Elementary School in Anchorage, Alaska. In 2008, her artwork for Lawndale Library, titled Subdivisions, was among forty works cited as “one of the most exemplary, innovative permanent or temporary public art works created or debuted in 2008” by the Americans for the Arts. Her work is also represented in many museums throughout California and the U.S., and internationally in the Kulturverwaltung Stadt in Salzburg, Austria.","<em>Subdivisions</em> is a 20-foot high floor to ceiling glass artwork designed by Anne Marie Karlsen and fabricated by Franz Mayer of Munich, Germany. The artist was inspired by the building and its reference to mid-century modern design, especially related to wall paper and tile patterns. Karlsen also found inspiration from the painter Piet Mondrian and his geometric division of spaces into rhythmic squares and rectangles. The combination of these geometric patterns and grids reminded Karlsen of the maps of Lawndale when it was being subdivided for residential lots. 

The artwork is made up of eight repeated geometric patterned panels. The patterns are intricate reconfigurations of historical photographs significant to the City of Lawndale. Karlsen worked closely with the Lawndale Historical Society to research the historic photographs used in the artwork. The artist notes, “From a distance the images become vibrant abstract patterns that reconfigure integral parts of the neighborhood history. Up close the images are readable, like a history book.”

The artwork is the focal point of the library’s glass corridor. During the day the artwork is lit by sunlight and can be read from both outside and inside. At night it is illuminated by interior lights.",Public Library,District 2 ,Lawndale Library,14715 Burin Avenue,Lawndale,California,90063,33.89858192,-118.3538748,6,2,FALSE
,2009.11,"Van Sant, Tom",Inventive Progress of Man,Mural,Inlaid natural stone and cork ,1960,132,144,"Tom Van Sant has created over sixty public murals and sculptures. His artwork can be found throughout southern California as well as internationally, including in the Honolulu, Taipei and Los Angeles airports. Van Sant was born in Los Angeles in 1931. He received a BA from Stanford University, a MFA from Otis Art Institute, and a MA in Environmental Arts and Sciences from Goddard College. Two other Van Sant artworks are held in Los Angeles County’s Collection, Inventive Progress of Man at the Bell Library, and Flight at the Huntington Park Library.","The Inventive Progress of Man wall mosaic by Tom Van Sant consists of four panels made of stone and inlaid cork. It is situated directly behind the circulation desk in the Bell Library. The mosaic represents twenty-six important inventions and discoveries made in human history. The figures on the left-hand side of the mural depict innovations made before recorded history; those on the right represent modern discoveries, which are often attributed to specific individuals. The center symbol consisting of two triangles, symbolizes the printing press, given the most prominent placement in the mural because of its importance to the history of libraries. The mural was installed in 1960 and a printed key to the symbols can be found on a nearby wall.",Public Library,District 4 ,Bell Library,4411 East Gage Street,Bell,California,90606,33.97825719,-118.1886767,7,2,FALSE
,2009.12,"Gage, Robert Merrell",Lincoln the Lawyer,Sculpture,Bronze on concrete,1961,108,75,"Noted American sculptor Robert Merrell Gage (1892-1981) was a native of Topeka, Kansas. He relocated out West in 1923 and served as head of the sculpture department at USC for 30 years. In addition to numerous commissions of American figures such as Walt Whitman and John Brown, as well as architectural sculptures, one of Gage’s life-long interests was in Abraham Lincoln. Gage executed likenesses of Lincoln in many stages of life, and even starred in a 1950s film in which he modeled Lincoln’s features while narrating the story of his life.","This larger-than-life bronze bust of Abraham Lincoln statue by Robert Merrell Gage is located at the northeast corner of the Mosk Courthouse facing Grand Avenue. It was originally dedicated in 1961 and moved to a new location outside the courthouse and re-dedicated in 1989. The statue depicts Lincoln in his 40s, clean shaven, and dating to a period before he became president.

For further information, see www.publicartinla.com","Superior Court of California, County of Los Angeles",District 1 ,Stanley Mosk Courthouse,110 N. Grand Ave.,Los Angeles,California,90606,34.05586406,-118.2484091,8,2,FALSE
,2009.13,"Leland, Malcolm",Untitled,Sculpture,Terra cotta tile on steel,1957,,,Malcolm Leland began his artistic career as a potter and ceramicist. He studied at the Jepson Art Institute and won the Good Design Award from the Museum of Modern Art (MoMA) in 1955 for his innovative ceramic bird shelter. In the mid- 1950's he became interested in working on a larger scale and he sold off his pottery to devote a year to researching architectural ceramics. He designed art elements for several prominent Los Angeles landmarks such as the American Cement Company Building on Wilshire Boulevard and the Pomona College Clock Tower. Malcolm Leland currently lives in Arizona and recently had a 2007 solo show at the Cardwell Jimmerson Gallery.,"In 1957, as Modernist architect Richard Neutra designed Los Angeles County’s new Hall of Records building, he was approached by ceramicist Malcolm Leland with an innovative idea to wed artistic design with architecture. Art ornamentation had once been ubiquitous in architecture but had almost disappeared with the advent of the minimal twentieth century trends of Modernism and the International Style. Leland was a ceramic potter with no previous architectural experience, but he was greatly inspired by Oscar Niemeyer’s designs for Brasilia, the new capital city of Brazil. Built in the 1950s and 60s, Niemeyer’s architecture for the new city was in the Modern style but also incorporated artworks, including large-scale screens into some of his designs. Leland thought the same could be done in Los Angeles, ushering a new approach to the bare bones functionalism of Modernism.

Neutra was intrigued by Malcolm Leland’s ideas and asked him to investigate how a large-scale ceramic screen could be built. Leland visited Gladding, McBean, the well-known ceramic factory which had manufactured architectural terra cotta works before Modernism’s heyday. Gladding, McBean no longer made decorative pieces but still produced extruded terra cotta industrial forms (such as pipes). Leland decided to develop a terra cotta art object which could also be extruded. Neutra, Leland, and the Hall of Records’ engineer worked together to make Leland’s design structurally feasible. The final work consisted of one form, repeated hundreds of times and anchored to the building by metal hooks on steel rods. It concealed Neutra’s ventilation ducts while at the same time allowing air to flow freely. Leland’s form was also able to be attached in two ways, creating an interplay of texture and light. The overall work is nearly as tall as the building itself, covering eight stories. The building was dedicated on May 18, 1962.",Internal Services,District 1 ,Hall of Records,320 West Temple Street,Los Angeles,California,90606,34.05596962,-118.244095,9,2,FALSE
